No,Grup Sidebar,Menu Sidebar FE,Rute URL Halaman FE,Modul API Backend,Method,Endpoint Path,Deskripsi / Fungsi API,Status API di Backend,Status Halaman FE,Prioritas,Langkah Aksi Integrasi
11,Pengguna,Pelanggan,/users/pelanggan,Customer,POST,/api/v1/customer/list,"Daftar pelanggan residensial (Datatable, filter kota, & paket)",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel /users/pelanggan ke API
12,Pengguna,Pelanggan,/users/pelanggan/new,Customer,POST,/api/v1/customer/create,"Pendaftaran pelanggan baru, alamat, koordinat, & paket layanan",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit formulir tambah pelanggan
13,Pengguna,Pelanggan,/users/pelanggan/[id],Customer,GET,/api/v1/customer/read/{id},"Mendapatkan detail profil, status koneksi, & layanan pelanggan",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan di halaman detail pelanggan
14,Pengguna,Pelanggan,/users/pelanggan/[id]/edit,Customer,PATCH,/api/v1/customer/update/{id},"Update data pelanggan (kontak, alamat, paket, & status)",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit form edit pelanggan
15,Pengguna,Pelanggan,/users/pelanggan,Customer,DELETE,/api/v1/customer/delete/{id},Hapus data pelanggan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Aksi hapus pelanggan pada tabel
16,Pengguna,Bisnis,/users/bisnis,Business,POST,/api/v1/business/list,Daftar pelanggan perusahaan/korporasi dengan pagination & filter,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel /users/bisnis ke API
17,Pengguna,Bisnis,/users/bisnis/new,Business,POST,/api/v1/business/create,"Tambah data perusahaan baru, PIC, NPWP, & kontak bisnis",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit formulir tambah bisnis
18,Pengguna,Bisnis,/users/bisnis/[id],Business,GET,/api/v1/business/read/{id},"Detail informasi perusahaan, legalitas, & produk yang digunakan",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan di halaman detail bisnis
19,Pengguna,Bisnis,/users/bisnis/[id]/edit,Business,PATCH,/api/v1/business/update/{id},Perbarui informasi perusahaan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit form edit bisnis
20,Pengguna,Bisnis,/users/bisnis,Business,DELETE,/api/v1/business/delete/{id},Hapus data perusahaan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Aksi hapus perusahaan
21,Pengguna,Mitra,/users/mitra,Partner,POST,/api/v1/partner/list,Daftar mitra bisnis / reseller ISP RingNet,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel /users/mitra ke API
22,Pengguna,Mitra,/users/mitra/new,Partner,POST,/api/v1/partner/create,"Tambah mitra baru, komisi sharing, & legalitas kemitraan",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit form tambah mitra
23,Pengguna,Mitra,/users/mitra/[id],Partner,GET,/api/v1/partner/read/{id},"Detail mitra, profil, saldo komisi, & pelanggan di bawah mitra",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan di halaman detail mitra
24,Pengguna,Mitra,/users/mitra,Partner,POST,/api/v1/customer-partner/list,Daftar pelanggan yang terdaftar melalui jalur mitra tertentu,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan tabel relasi pelanggan mitra
25,Pengguna,POP,/users/pop,Location Point,POST,/api/v1/location-point/list,Daftar Point of Presence (POP) dengan filter type: pop,✅ Siap Integrasi (via Location Point),Sudah Ada Halaman (Ready),P1 - Utama,Kirim query filter type: 'pop' untuk menampilkan daftar POP
26,Pengguna,POP,/users/pop,Location Point,POST,/api/v1/location-point/pop-select,Pencarian titik POP untuk pilihan dropdown / select option,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Gunakan pada dropdown pilihan POP di seluruh form
27,Pengguna,POP,/users/pop/new,Location Point,POST,/api/v1/location-point/create,"Tambah data POP baru, koordinat peta, alamat, & data PIC",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit formulir POP baru beserta koordinat lat/lng
28,Pengguna,POP,/users/pop/[id],Location Point,GET,/api/v1/location-point/read/{id},Mendapatkan data lengkap titik POP,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Load detail POP di halaman edit
29,Pengguna,POP,/users/pop/[id]/edit,Location Point,PUT,/api/v1/location-point/update/{id},"Update data POP, koordinat, dan status",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit update data POP
30,Data Teknis > Perangkat Aktif,OLT,/mitra/olt,Location Point / Utils,POST,/api/v1/location-point/list,Daftar perangkat OLT (Filter type: 'olt' / 'active-node'),⚠️ Perlu Mapping (via Location Point),Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan OLT sebagai node aktif di tabel /mitra/olt
31,Data Teknis > Perangkat Aktif,OLT,/mitra/olt,Utils,POST,/api/v1/utils/snmp-interfaces,Monitoring port & interface PON OLT via SNMP,✅ Siap Integrasi,Ada Komponen,P2 - Operasional,Tampilkan status port PON OLT
32,Data Teknis > Perangkat Aktif,Router,/mitra/router,Radius NAS,POST,/api/v1/radius-nas/list,Daftar Router Gateway / NAS MikroTik terhubung,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel router ke endpoint radius-nas
33,Data Teknis > Perangkat Aktif,Switch,/mitra/switch,Location Point,POST,/api/v1/location-point/list,Daftar perangkat Switch Distribusi / Akses (Filter type: 'switch'),⚠️ Perlu Mapping (via Location Point),Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan daftar Switch di halaman /mitra/switch
34,Data Teknis > Perangkat Pasif,OTB,/mitra/otb,Location Point,POST,/api/v1/location-point/list,Daftar Optical Termination Box (OTB) dengan filter type: 'otb',✅ Siap Integrasi (via Location Point),Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan data OTB dan kapasitas port terminasi
35,Data Teknis > Perangkat Pasif,ODC,/mitra/odc,Location Point,POST,/api/v1/location-point/list,Daftar Optical Distribution Cabinet (ODC) dengan filter type: 'odc',✅ Siap Integrasi (via Location Point),Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan data ODC dan splitter distribusi
36,Data Teknis > Perangkat Pasif,ODP,/mitra/odp,Location Point,POST,/api/v1/location-point/list,Daftar Optical Distribution Point (ODP) dengan filter type: 'odp',✅ Siap Integrasi (via Location Point),Sudah Ada Halaman (Ready),P2 - Operasional,"Tampilkan ODP, nomor tiang, port terisi/kosong, & koordinat"
37,Data Teknis > Perangkat Pasif,Kabel,/mitra/kabel,Fiber Optic,GET,/api/v1/fiber-cables/list,Daftar bentangan kabel Fiber Optic beserta kapasitas core & rute,✅ Siap Integrasi (Dedicated API),Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel kabel FO ke endpoint fiber-cables
38,Data Teknis > Perangkat Pasif,Kabel,/mitra/kabel/new,Fiber Optic,POST,/api/v1/fiber-cables/create,Tambah data bentangan kabel FO baru (Core 12/24/48/96),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit formulir penambahan kabel FO
39,Data Teknis > Perangkat Pasif,Kabel,/mitra/kabel,Fiber Optic,GET,/api/v1/fiber-cables/core-capacities,Daftar opsi standar kapasitas core kabel optik,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Isi pilihan dropdown kapasitas core kabel
40,Data Teknis,Map Infrastruktur,/mitra/infrastruktur,Location Point,GET,/api/v1/location-point/map-markers,"Ambil seluruh titik marker infrastruktur (POP, ODC, ODP, Closure) untuk peta",✅ Siap Integrasi (Dedicated API),Sudah Ada Halaman (Ready),P1 - Utama,Render marker geografis di peta Leaflet / Mapbox / Google Maps
41,Data Teknis,Map Infrastruktur,/mitra/infrastruktur,Location Point,GET,/api/v1/location-point/map-marker-types,Daftar tipe marker node yang tersedia untuk filter layer peta,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan kontrol checklist filter layer pada peta
42,Data Teknis,Map Infrastruktur,/mitra/infrastruktur,Location Point,GET,/api/v1/location-point/report/{mapsId},Data lengkap sambungan kabel & core splicing pada suatu titik node,✅ Siap Integrasi,Ada Komponen,P2 - Operasional,Modal popup detail splicing saat marker di peta diklik
43,Data Teknis > Radius,NAS / Router,/radius/nas-router,Radius NAS,POST,/api/v1/radius-nas/list,Daftar server NAS / MikroTik yang terdaftar di Radius,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel NAS Router ke API
44,Data Teknis > Radius,NAS / Router,/radius/nas-router/new,Radius NAS,POST,/api/v1/radius-nas/create,"Tambah router NAS baru (IP, Secret Key, Tipe MikroTik)",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit form tambah NAS
45,Data Teknis > Radius,Autentikasi,/radius/autentikasi,Internet Broadband,POST,/api/v1/broadband/list,Daftar akun PPPoE / IPoE pelanggan broadband yang aktif,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,"Tampilkan username PPPoE, password, profil, & status akun"
46,Data Teknis > Radius,Autentikasi,/radius/autentikasi,Network IPv4,GET,/api/v1/network/ipv4/select-radius,Pilihan alokasi IP Pool untuk user radius,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Dropdown pilihan IP pool pada user broadband
47,Data Teknis > Radius,Grup Profil,/radius/grup-profil,Broadband Profile,POST,/api/v1/broadband-profile/list,Daftar paket profil kecepatan bandwidth (Rate Limit),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel grup profil ke API
48,Data Teknis > Radius,Grup Profil,/radius/grup-profil/new,Broadband Profile,POST,/api/v1/broadband-profile/create,"Tambah profil paket kecepatan (Download, Upload, Burst, Pool)",✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Submit form paket profil baru
49,Data Teknis > Radius,Sesi Pengguna,/radius/sesi-pengguna,Internet Broadband,GET,/api/v1/broadband/list-status,"Ringkasan sesi pengguna aktif, uptime, dan kuota pemakaian",⚠️ Menggunakan Status Layanan,Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan statistik status sesi online pelanggan
50,Data Teknis > Radius,Riwayat,/radius/riwayat,Internet Broadband,POST,/api/v1/broadband/list,Log riwayat koneksi akun pelanggan,⚠️ Menggunakan Log Layanan,Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan riwayat perubahan status & koneksi
51,Pelanggan,SLA Pelanggan,/mitra/sla,Internet Broadband,GET,/api/v1/broadband/related/{id},Monitoring SLA uptime dan performa layanan pelanggan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan persentase SLA uptime pelanggan di /mitra/sla
52,Keuangan,Keuangan,/keuangan,Finance Invoice,GET,/api/v1/finance/invoice-customer/related/{id},Histori tagihan dan invoice per pelanggan,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan daftar invoice dan status bayar di /keuangan
53,Keuangan,Faktur & Tagihan,/internet-services,Internet Broadband,POST,/api/v1/broadband/list,Daftar tagihan rutin bulanan layanan internet,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Hubungkan tabel tagihan layanan ke endpoint
54,Dokumen,Dokumen Legalitas,/dokumen/legalitas,Public,GET,/api/v1/public-docs/baa/{code},Melihat & download Berita Acara Aktivasi (BAA),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Tombol cetak/view dokumen BAA
55,Dokumen,Dokumen Legalitas,/dokumen/legalitas,Public,GET,/api/v1/public-docs/bap/{code},Melihat & download Berita Acara Pemasangan (BAP),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Tombol cetak/view dokumen BAP
56,Dokumen,Dokumen Legalitas,/dokumen/legalitas,Files,GET,/api/v1/file/customer-ktp/{id},Akses file foto KTP pelanggan terunggah,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Preview gambar KTP pelanggan di modal / detail page
57,Pengaturan,Paket Layanan,/pengaturan/paket-layanan,Paket Broadband,POST,/api/v1/product/broadband/list,Katalog daftar paket internet broadband (FTTH),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Tampilkan tabel katalog paket di /pengaturan/paket-layanan
58,Pengaturan,Paket Layanan,/pengaturan/paket-layanan,Dedicated Internet,POST,/api/v1/product/dedicated-internet/list,Katalog paket Dedicated Internet untuk corporate,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan tab Dedicated Internet
59,Pengaturan,Paket Layanan,/pengaturan/paket-layanan,Data Access,POST,/api/v1/product/data-access/list,Katalog paket Data Access (Metro-E / VPN),✅ Siap Integrasi,Sudah Ada Halaman (Ready),P2 - Operasional,Tampilkan tab Data Access
60,Pengaturan,Pengaturan Umum,/pengaturan,Privilege,GET,/api/v1/privilege/me,Melihat hak akses menu dan permission user saat ini,✅ Siap Integrasi,Sudah Ada Halaman (Ready),P1 - Utama,Role-based access control (RBAC) di frontend
